rowid,kepid,koi_disposition,koi_pdisposition
1,10797460,CONFIRMED,CANDIDATE
2,10797460,CONFIRMED,CANDIDATE
3,10811496,FALSE POSITIVE,FALSE POSITIVE
4,10848459,FALSE POSITIVE,FALSE POSITIVE
5,10854555,CONFIRMED,CANDIDATE
6,10872983,CONFIRMED,CANDIDATE
7,10872983,CONFIRMED,CANDIDATE
8,10872983,CONFIRMED,CANDIDATE
9,6721123,FALSE POSITIVE,FALSE POSITIVE
10,10910878,CONFIRMED,CANDIDATE
11,11446443,CONFIRMED,CANDIDATE
12,10666592,CONFIRMED,CANDIDATE
13,6922244,CONFIRMED,CANDIDATE
14,10984090,CONFIRMED,CANDIDATE
15,10419211,FALSE POSITIVE,FALSE POSITIVE
16,10464078,FALSE POSITIVE,FALSE POSITIVE
17,10480982,FALSE POSITIVE,FALSE POSITIVE
18,10485250,FALSE POSITIVE,FALSE POSITIVE
19,10526549,CONFIRMED,CANDIDATE
20,10583066,CONFIRMED,CANDIDATE
21,10583180,FALSE POSITIVE,FALSE POSITIVE
22,10601284,CONFIRMED,CANDIDATE
23,10601284,CONFIRMED,CANDIDATE
24,10601284,CONFIRMED,CANDIDATE
25,2306756,FALSE POSITIVE,FALSE POSITIVE
26,10662202,CONFIRMED,CANDIDATE
27,10682541,CONFIRMED,CANDIDATE
28,11460018,CONFIRMED,CANDIDATE
29,11463211,FALSE POSITIVE,FALSE POSITIVE
30,11465813,FALSE POSITIVE,FALSE POSITIVE
31,11493732,FALSE POSITIVE,FALSE POSITIVE
32,11507101,CONFIRMED,CANDIDATE
33,10910878,CONFIRMED,CANDIDATE
34,10910878,CONFIRMED,CANDIDATE
35,10987985,CONFIRMED,CANDIDATE
36,11018648,CONFIRMED,CANDIDATE
37,11018648,CONFIRMED,CANDIDATE
38,11138155,CANDIDATE,CANDIDATE
39,11152159,FALSE POSITIVE,FALSE POSITIVE
40,11153539,CONFIRMED,CANDIDATE
41,11242721,FALSE POSITIVE,FALSE POSITIVE
42,9579641,CONFIRMED,CANDIDATE
43,11304958,CONFIRMED,CANDIDATE
44,11391957,CONFIRMED,CANDIDATE
45,11403044,CONFIRMED,CANDIDATE
46,11414511,CONFIRMED,CANDIDATE
47,11442465,FALSE POSITIVE,FALSE POSITIVE
48,12110942,CONFIRMED,CANDIDATE
49,12366084,CONFIRMED,CANDIDATE
50,12366084,CONFIRMED,CANDIDATE
51,12404086,CONFIRMED,CANDIDATE
52,8395660,CONFIRMED,CANDIDATE
53,9579641,CONFIRMED,CANDIDATE
54,11656840,FALSE POSITIVE,FALSE POSITIVE
55,11754553,CONFIRMED,CANDIDATE
56,11754553,CONFIRMED,CANDIDATE
57,11754553,CONFIRMED,CANDIDATE
58,11812062,CONFIRMED,CANDIDATE
59,11818800,CANDIDATE,CANDIDATE
60,11853255,CONFIRMED,CANDIDATE
61,11909839,FALSE POSITIVE,FALSE POSITIVE
62,11918099,CONFIRMED,CANDIDATE
63,11918099,CANDIDATE,CANDIDATE
64,9579641,CANDIDATE,CANDIDATE
65,11923270,CONFIRMED,CANDIDATE
66,11960862,CONFIRMED,CANDIDATE
67,12020329,CONFIRMED,CANDIDATE
68,12066335,CONFIRMED,CANDIDATE
69,12066335,CONFIRMED,CANDIDATE
70,12070811,CONFIRMED,CANDIDATE
71,8395660,CONFIRMED,CANDIDATE
72,3120431,FALSE POSITIVE,FALSE POSITIVE
73,3246984,CANDIDATE,CANDIDATE
74,3342970,CONFIRMED,CANDIDATE
75,3342970,CONFIRMED,CANDIDATE
76,12459725,FALSE POSITIVE,FALSE POSITIVE
77,12470844,CONFIRMED,CANDIDATE
78,12470844,CONFIRMED,CANDIDATE
79,12644822,CONFIRMED,CANDIDATE
80,2440757,FALSE POSITIVE,FALSE POSITIVE
81,2445129,FALSE POSITIVE,FALSE POSITIVE
82,2713049,CONFIRMED,CANDIDATE
83,3114167,CONFIRMED,CANDIDATE
84,3114661,FALSE POSITIVE,FALSE POSITIVE
85,3115833,CANDIDATE,CANDIDATE
86,4139816,CONFIRMED,CANDIDATE
87,4139816,CONFIRMED,CANDIDATE
88,8395660,CONFIRMED,CANDIDATE
89,4139816,CONFIRMED,CANDIDATE
90,4275191,CONFIRMED,CANDIDATE
91,4476123,CONFIRMED,CANDIDATE
92,3351888,CONFIRMED,CANDIDATE
93,3453214,CANDIDATE,CANDIDATE
94,3554600,FALSE POSITIVE,FALSE POSITIVE
95,3641726,CANDIDATE,CANDIDATE
96,3734868,FALSE POSITIVE,FALSE POSITIVE
97,3832474,CONFIRMED,CANDIDATE
98,8395660,CONFIRMED,CANDIDATE
99,3832474,CONFIRMED,CANDIDATE
100,3832474,CONFIRMED,CANDIDATE
101,3836375,FALSE POSITIVE,FALSE POSITIVE
102,3838486,FALSE POSITIVE,FALSE POSITIVE
103,3935914,CONFIRMED,CANDIDATE
104,3940418,CANDIDATE,CANDIDATE
105,4049131,CONFIRMED,CANDIDATE
106,4139816,CONFIRMED,CANDIDATE
107,5287983,FALSE POSITIVE,FALSE POSITIVE
108,5358241,CONFIRMED,CANDIDATE
109,10875245,CONFIRMED,CANDIDATE
110,5358241,CONFIRMED,CANDIDATE
111,5358241,CONFIRMED,CANDIDATE
112,5358624,CONFIRMED,CANDIDATE
113,4544670,CANDIDATE,CANDIDATE
114,4664847,CONFIRMED,CANDIDATE
115,4725681,CONFIRMED,CANDIDATE
116,4913852,CONFIRMED,CANDIDATE
117,4932348,FALSE POSITIVE,FALSE POSITIVE
118,4936180,FALSE POSITIVE,FALSE POSITIVE
119,11913073,FALSE POSITIVE,FALSE POSITIVE
120,10875245,CONFIRMED,CANDIDATE
121,5021899,CONFIRMED,CANDIDATE
122,5077629,FALSE POSITIVE,FALSE POSITIVE
123,5115978,CANDIDATE,CANDIDATE
124,5164255,CONFIRMED,CANDIDATE
125,5252423,CONFIRMED,CANDIDATE
126,5252423,CONFIRMED,CANDIDATE
127,5272878,CONFIRMED,CANDIDATE
128,5283542,FALSE POSITIVE,FALSE POSITIVE
129,5649215,FALSE POSITIVE,FALSE POSITIVE
130,5651104,CONFIRMED,CANDIDATE
131,5792202,CONFIRMED,CANDIDATE
132,10875245,CONFIRMED,CANDIDATE
133,5792202,CONFIRMED,CANDIDATE
134,5370302,FALSE POSITIVE,FALSE POSITIVE
135,5372966,FALSE POSITIVE,FALSE POSITIVE
136,5376067,FALSE POSITIVE,FALSE POSITIVE
137,5436502,CONFIRMED,CANDIDATE
138,5436502,CONFIRMED,CANDIDATE
139,5436502,CONFIRMED,CANDIDATE
140,5436502,CONFIRMED,CANDIDATE
141,10875245,CONFIRMED,CANDIDATE
142,5436502,CONFIRMED,CANDIDATE
143,5456651,CONFIRMED,CANDIDATE
144,5456651,CONFIRMED,CANDIDATE
145,5481416,FALSE POSITIVE,FALSE POSITIVE
146,5531576,CONFIRMED,CANDIDATE
147,5531576,CONFIRMED,CANDIDATE
148,5534814,FALSE POSITIVE,FALSE POSITIVE
149,6291653,CONFIRMED,CANDIDATE
150,6392727,CONFIRMED,CANDIDATE
151,6422070,CONFIRMED,CANDIDATE
152,6428700,CONFIRMED,CANDIDATE
153,6428700,CONFIRMED,CANDIDATE
154,5792202,CANDIDATE,CANDIDATE
155,5794379,CONFIRMED,CANDIDATE
156,5794379,CONFIRMED,CANDIDATE
157,5881688,CONFIRMED,CANDIDATE
158,6022556,CONFIRMED,CANDIDATE
159,6032497,CONFIRMED,CANDIDATE
160,6061119,CONFIRMED,CANDIDATE
161,6191521,CONFIRMED,CANDIDATE
162,6267425,FALSE POSITIVE,FALSE POSITIVE
163,3531558,CONFIRMED,CANDIDATE
164,6276477,CONFIRMED,CANDIDATE
165,6863998,CONFIRMED,CANDIDATE
166,6867155,CANDIDATE,CANDIDATE
167,6948054,CONFIRMED,CANDIDATE
168,6948054,CONFIRMED,CANDIDATE
169,6948054,CONFIRMED,CANDIDATE
170,6435936,CONFIRMED,CANDIDATE
171,6522242,CONFIRMED,CANDIDATE
172,6526710,CANDIDATE,CANDIDATE
173,6587280,CONFIRMED,CANDIDATE
174,9471974,CONFIRMED,CANDIDATE
175,6587280,CONFIRMED,CANDIDATE
176,6599919,FALSE POSITIVE,FALSE POSITIVE
177,6675056,FALSE POSITIVE,FALSE POSITIVE
178,6685526,CONFIRMED,CANDIDATE
179,6756669,FALSE POSITIVE,FALSE POSITIVE
180,6784235,CONFIRMED,CANDIDATE
181,6849310,CONFIRMED,CANDIDATE
182,6849310,CONFIRMED,CANDIDATE
183,6849310,CONFIRMED,CANDIDATE
184,6862328,CANDIDATE,CANDIDATE
185,9471974,CONFIRMED,CANDIDATE
186,6862603,FALSE POSITIVE,FALSE POSITIVE
187,7366258,CONFIRMED,CANDIDATE
188,7366258,CONFIRMED,CANDIDATE
189,7366258,CONFIRMED,CANDIDATE
190,7366258,CONFIRMED,CANDIDATE
191,7373451,CONFIRMED,CANDIDATE
192,6948054,CONFIRMED,CANDIDATE
193,6949607,CONFIRMED,CANDIDATE
194,6949607,CONFIRMED,CANDIDATE
195,7031517,FALSE POSITIVE,FALSE POSITIVE
196,11869052,CANDIDATE,CANDIDATE
197,7109675,CONFIRMED,CANDIDATE
198,7109675,CONFIRMED,CANDIDATE
199,7118364,CONFIRMED,CANDIDATE
200,7134976,CONFIRMED,CANDIDATE
201,7134976,CONFIRMED,CANDIDATE
202,7135852,CANDIDATE,CANDIDATE
203,7270230,FALSE POSITIVE,FALSE POSITIVE
204,7287995,CONFIRMED,CANDIDATE
205,7287995,CONFIRMED,CANDIDATE
206,7287995,CONFIRMED,CANDIDATE
207,3247396,FALSE POSITIVE,FALSE POSITIVE
208,7303253,CONFIRMED,CANDIDATE
209,5094751,CONFIRMED,CANDIDATE
210,7678434,CONFIRMED,CANDIDATE
211,7678434,CANDIDATE,CANDIDATE
212,7685981,CONFIRMED,CANDIDATE
213,7708215,FALSE POSITIVE,FALSE POSITIVE
214,7373451,CONFIRMED,CANDIDATE
215,7377033,FALSE POSITIVE,FALSE POSITIVE
216,7380537,CANDIDATE,CANDIDATE
217,7434875,CONFIRMED,CANDIDATE
218,8349582,CONFIRMED,CANDIDATE
219,7434875,CONFIRMED,FALSE POSITIVE
220,7434875,CONFIRMED,CANDIDATE
221,7455287,CONFIRMED,CANDIDATE
222,7455287,CONFIRMED,CANDIDATE
223,7455287,CONFIRMED,CANDIDATE
224,7458762,CONFIRMED,CANDIDATE
225,7552344,FALSE POSITIVE,FALSE POSITIVE
226,757450,CONFIRMED,CANDIDATE
227,7585481,CONFIRMED,CANDIDATE
228,7663691,CONFIRMED,CANDIDATE
229,5812701,CONFIRMED,CANDIDATE
230,8013419,CANDIDATE,CANDIDATE
231,8018547,CANDIDATE,CANDIDATE
232,8039892,CONFIRMED,CANDIDATE
233,8150320,CONFIRMED,CANDIDATE
234,8150320,CONFIRMED,CANDIDATE
235,11086270,CONFIRMED,FALSE POSITIVE
236,7767559,FALSE POSITIVE,FALSE POSITIVE
237,7825899,CONFIRMED,CANDIDATE
238,7825899,CONFIRMED,CANDIDATE
239,7849854,CONFIRMED,CANDIDATE
240,7870390,CONFIRMED,CANDIDATE
241,7870390,CONFIRMED,CANDIDATE
242,5094751,CONFIRMED,CANDIDATE
243,7870390,CONFIRMED,CANDIDATE
244,7907423,CONFIRMED,CANDIDATE
245,7907423,CONFIRMED,CANDIDATE
246,7907423,CONFIRMED,CANDIDATE
247,7938496,CANDIDATE,CANDIDATE
248,8490993,CONFIRMED,CANDIDATE
249,8490993,CONFIRMED,CANDIDATE
250,8505670,CONFIRMED,CANDIDATE
251,8505670,CONFIRMED,CANDIDATE
252,8544996,CONFIRMED,CANDIDATE
253,8552202,CANDIDATE,CANDIDATE
254,8150320,CONFIRMED,CANDIDATE
255,8150320,CONFIRMED,CANDIDATE
256,8150320,CONFIRMED,CANDIDATE
257,8180063,FALSE POSITIVE,FALSE POSITIVE
258,8226994,CONFIRMED,CANDIDATE
259,8226994,CONFIRMED,CANDIDATE
260,8226994,CONFIRMED,CANDIDATE
261,8247638,CONFIRMED,CANDIDATE
262,8247638,CONFIRMED,CANDIDATE
263,8247638,CONFIRMED,CANDIDATE
264,11086270,CONFIRMED,CANDIDATE
265,8247638,CONFIRMED,CANDIDATE
266,8255887,CONFIRMED,CANDIDATE
267,8256049,FALSE POSITIVE,FALSE POSITIVE
268,8414716,CONFIRMED,CANDIDATE
269,9140402,CANDIDATE,CANDIDATE
270,9141746,CONFIRMED,CANDIDATE
271,9159275,FALSE POSITIVE,FALSE POSITIVE
272,9166862,CONFIRMED,CANDIDATE
273,9166870,FALSE POSITIVE,FALSE POSITIVE
274,11449844,CONFIRMED,CANDIDATE
275,8605074,FALSE POSITIVE,FALSE POSITIVE
276,8628973,CONFIRMED,CANDIDATE
277,8655354,FALSE POSITIVE,FALSE POSITIVE
278,8672910,CONFIRMED,CANDIDATE
279,8686150,FALSE POSITIVE,FALSE POSITIVE
280,8689031,CONFIRMED,CANDIDATE
281,8689373,CONFIRMED,CANDIDATE
282,8689373,CONFIRMED,CANDIDATE
283,8689373,CONFIRMED,CANDIDATE
284,8826878,CONFIRMED,CANDIDATE
285,5897826,FALSE POSITIVE,FALSE POSITIVE
286,8883593,CONFIRMED,CANDIDATE
287,8951215,CANDIDATE,CANDIDATE
288,9016295,FALSE POSITIVE,FALSE POSITIVE
289,9077124,CONFIRMED,CANDIDATE
290,9097120,FALSE POSITIVE,FALSE POSITIVE
291,9466668,CONFIRMED,CANDIDATE
292,9466668,CONFIRMED,CANDIDATE
293,9466668,CONFIRMED,CANDIDATE
294,9466668,CONFIRMED,CANDIDATE
295,9479273,CONFIRMED,CANDIDATE
296,8359498,CONFIRMED,CANDIDATE
297,9171801,FALSE POSITIVE,FALSE POSITIVE
298,9334289,CONFIRMED,CANDIDATE
299,9334289,CONFIRMED,CANDIDATE
300,9334289,CONFIRMED,CANDIDATE
301,9347899,CONFIRMED,CANDIDATE
302,9347899,CONFIRMED,CANDIDATE
303,9347899,CONFIRMED,CANDIDATE
304,9347899,CANDIDATE,CANDIDATE
305,9388479,CONFIRMED,CANDIDATE
306,9388479,CONFIRMED,CANDIDATE
307,11359879,CONFIRMED,CANDIDATE
308,9406990,CONFIRMED,CANDIDATE
309,9415172,CONFIRMED,CANDIDATE
310,9415172,CONFIRMED,CANDIDATE
311,9415172,CONFIRMED,CANDIDATE
312,9904059,CANDIDATE,CANDIDATE
313,3231341,CONFIRMED,CANDIDATE
314,3231341,CONFIRMED,CANDIDATE
315,3231341,CONFIRMED,CANDIDATE
316,2860866,CANDIDATE,CANDIDATE
317,7626506,CONFIRMED,CANDIDATE
318,10460629,CANDIDATE,CANDIDATE
319,10319385,CANDIDATE,CANDIDATE
320,10482160,CANDIDATE,CANDIDATE
321,10485069,FALSE POSITIVE,FALSE POSITIVE
322,3233043,FALSE POSITIVE,FALSE POSITIVE
323,6579806,FALSE POSITIVE,FALSE POSITIVE
324,3560301,FALSE POSITIVE,FALSE POSITIVE
325,4044005,FALSE POSITIVE,FALSE POSITIVE
326,11502218,FALSE POSITIVE,FALSE POSITIVE
327,11180361,CANDIDATE,CANDIDATE
328,5802246,FALSE POSITIVE,FALSE POSITIVE
329,6066403,FALSE POSITIVE,FALSE POSITIVE
330,6209637,FALSE POSITIVE,FALSE POSITIVE
331,5988031,FALSE POSITIVE,FALSE POSITIVE
332,7684873,FALSE POSITIVE,FALSE POSITIVE
333,8559644,CONFIRMED,CANDIDATE
334,2851100,FALSE POSITIVE,FALSE POSITIVE
335,3130300,FALSE POSITIVE,FALSE POSITIVE
336,3240158,CONFIRMED,CANDIDATE
337,3240158,CONFIRMED,CANDIDATE
338,3228959,FALSE POSITIVE,FALSE POSITIVE
339,3218908,CONFIRMED,CANDIDATE
340,10341913,FALSE POSITIVE,FALSE POSITIVE
341,10480921,FALSE POSITIVE,FALSE POSITIVE
342,10287723,CANDIDATE,CANDIDATE
343,10350571,CONFIRMED,CANDIDATE
344,3749365,CONFIRMED,CANDIDATE
345,11013201,CANDIDATE,CANDIDATE
346,11673674,FALSE POSITIVE,FALSE POSITIVE
347,11013201,FALSE POSITIVE,FALSE POSITIVE
348,9414417,CANDIDATE,CANDIDATE
349,3632418,CONFIRMED,CANDIDATE
350,3441784,FALSE POSITIVE,FALSE POSITIVE
351,5820218,FALSE POSITIVE,FALSE POSITIVE
352,5876368,FALSE POSITIVE,FALSE POSITIVE
353,5809890,CONFIRMED,CANDIDATE
354,6131236,CANDIDATE,CANDIDATE
355,9048161,FALSE POSITIVE,FALSE POSITIVE
356,3218908,CONFIRMED,CANDIDATE
357,3218908,CONFIRMED,CANDIDATE
358,3235672,FALSE POSITIVE,FALSE POSITIVE
359,2837111,CONFIRMED,CANDIDATE
360,3120276,FALSE POSITIVE,FALSE POSITIVE
361,2307199,CANDIDATE,CANDIDATE
362,3547091,FALSE POSITIVE,FALSE POSITIVE
363,3869825,FALSE POSITIVE,FALSE POSITIVE
364,3655332,FALSE POSITIVE,FALSE POSITIVE
365,4042026,FALSE POSITIVE,FALSE POSITIVE
366,3344419,FALSE POSITIVE,FALSE POSITIVE
367,11192141,CANDIDATE,CANDIDATE
368,11494130,FALSE POSITIVE,FALSE POSITIVE
369,5648449,FALSE POSITIVE,FALSE POSITIVE
370,12167361,FALSE POSITIVE,FALSE POSITIVE
371,8607720,FALSE POSITIVE,FALSE POSITIVE
372,1433962,FALSE POSITIVE,FALSE POSITIVE
373,9032900,FALSE POSITIVE,FALSE POSITIVE
374,5956342,CONFIRMED,CANDIDATE
375,5956342,CONFIRMED,CANDIDATE
376,5956342,CONFIRMED,CANDIDATE
377,5956342,CONFIRMED,CANDIDATE
378,5956656,CONFIRMED,CANDIDATE
379,3109930,CANDIDATE,CANDIDATE
380,2854914,CONFIRMED,CANDIDATE
381,2854914,CONFIRMED,CANDIDATE
382,3337425,FALSE POSITIVE,FALSE POSITIVE
383,3116412,CONFIRMED,CANDIDATE
384,3865567,FALSE POSITIVE,FALSE POSITIVE
385,3544689,FALSE POSITIVE,FALSE POSITIVE
386,4037164,FALSE POSITIVE,FALSE POSITIVE
387,3443790,FALSE POSITIVE,FALSE POSITIVE
388,3966912,FALSE POSITIVE,FALSE POSITIVE
389,8394721,CONFIRMED,CANDIDATE
390,11607193,FALSE POSITIVE,FALSE POSITIVE
391,1161345,CANDIDATE,CANDIDATE
392,10227501,FALSE POSITIVE,FALSE POSITIVE
393,2854698,CONFIRMED,CANDIDATE
394,2854698,CONFIRMED,CANDIDATE
395,8559644,CONFIRMED,CANDIDATE
396,6032981,FALSE POSITIVE,FALSE POSITIVE
397,5866099,FALSE POSITIVE,FALSE POSITIVE
398,5964985,FALSE POSITIVE,FALSE POSITIVE
399,6066416,FALSE POSITIVE,FALSE POSITIVE
400,1996679,FALSE POSITIVE,FALSE POSITIVE
401,2849805,CONFIRMED,CANDIDATE
402,3114811,CONFIRMED,CANDIDATE
403,2853446,CANDIDATE,CANDIDATE
404,3003992,FALSE POSITIVE,FALSE POSITIVE
405,3942446,CANDIDATE,CANDIDATE
406,3554031,CONFIRMED,CANDIDATE
407,3554031,FALSE POSITIVE,FALSE POSITIVE
408,3554031,CONFIRMED,CANDIDATE
409,8394721,CONFIRMED,CANDIDATE
410,7295235,CONFIRMED,CANDIDATE
411,2302548,CONFIRMED,CANDIDATE
412,2302548,CONFIRMED,CANDIDATE
413,10743597,FALSE POSITIVE,FALSE POSITIVE
414,10743597,FALSE POSITIVE,FALSE POSITIVE
415,9818381,CONFIRMED,CANDIDATE
416,6124941,CANDIDATE,CANDIDATE
417,6060203,CONFIRMED,CANDIDATE
418,5880320,CONFIRMED,CANDIDATE
419,5880320,CONFIRMED,CANDIDATE
420,5880320,CONFIRMED,CANDIDATE
421,3003992,FALSE POSITIVE,FALSE POSITIVE
422,6307537,FALSE POSITIVE,FALSE POSITIVE
423,6359798,FALSE POSITIVE,FALSE POSITIVE
424,6311681,FALSE POSITIVE,FALSE POSITIVE
425,6365321,FALSE POSITIVE,FALSE POSITIVE
426,6301035,FALSE POSITIVE,FALSE POSITIVE
427,3859079,CONFIRMED,CANDIDATE
428,3557493,FALSE POSITIVE,FALSE POSITIVE
429,4061149,CANDIDATE,CANDIDATE
430,3444588,CONFIRMED,CANDIDATE
431,8394721,CONFIRMED,CANDIDATE
432,3962243,CONFIRMED,CANDIDATE
433,10743597,CANDIDATE,CANDIDATE
434,10015516,FALSE POSITIVE,FALSE POSITIVE
435,10154388,CONFIRMED,CANDIDATE
436,1432789,CONFIRMED,CANDIDATE
437,1718189,CONFIRMED,CANDIDATE
438,5880320,CONFIRMED,CANDIDATE
439,5130369,FALSE POSITIVE,FALSE POSITIVE
440,6037187,CONFIRMED,CANDIDATE
441,6147122,FALSE POSITIVE,FALSE POSITIVE
442,8257407,FALSE POSITIVE,FALSE POSITIVE
443,8218274,CANDIDATE,CANDIDATE
444,3964562,FALSE POSITIVE,FALSE POSITIVE
445,5735762,CONFIRMED,CANDIDATE
446,6292162,FALSE POSITIVE,FALSE POSITIVE
447,6307521,FALSE POSITIVE,FALSE POSITIVE
448,6359320,CONFIRMED,CANDIDATE
449,3848972,FALSE POSITIVE,FALSE POSITIVE
450,3860441,FALSE POSITIVE,FALSE POSITIVE
451,3765771,FALSE POSITIVE,FALSE POSITIVE
452,3557341,FALSE POSITIVE,FALSE POSITIVE
453,3859628,CANDIDATE,CANDIDATE
454,3644071,CANDIDATE,CANDIDATE
455,1718189,CONFIRMED,CANDIDATE
456,1431122,CANDIDATE,CANDIDATE
457,3858949,FALSE POSITIVE,FALSE POSITIVE
458,3858824,FALSE POSITIVE,FALSE POSITIVE
459,2157247,FALSE POSITIVE,FALSE POSITIVE
460,7601633,FALSE POSITIVE,FALSE POSITIVE
461,8242681,FALSE POSITIVE,FALSE POSITIVE
462,8260218,CANDIDATE,CANDIDATE
463,8246781,FALSE POSITIVE,FALSE POSITIVE
464,8264070,FALSE POSITIVE,FALSE POSITIVE
465,8222813,CONFIRMED,CANDIDATE
466,6359320,CONFIRMED,CANDIDATE
467,6359320,CANDIDATE,CANDIDATE
468,6362874,CONFIRMED,CANDIDATE
469,6272413,CONFIRMED,CANDIDATE
470,8279765,FALSE POSITIVE,FALSE POSITIVE
471,8330548,FALSE POSITIVE,FALSE POSITIVE
472,3348082,FALSE POSITIVE,FALSE POSITIVE
473,3853673,FALSE POSITIVE,FALSE POSITIVE
474,3447722,CONFIRMED,CANDIDATE
475,3447722,CONFIRMED,CANDIDATE
476,3447722,CONFIRMED,CANDIDATE
477,3447722,CANDIDATE,CANDIDATE
478,1432214,FALSE POSITIVE,FALSE POSITIVE
479,2165002,CONFIRMED,CANDIDATE
480,2165002,CONFIRMED,CANDIDATE
481,2441728,FALSE POSITIVE,FALSE POSITIVE
482,1871056,CONFIRMED,CANDIDATE
483,8222813,CONFIRMED,CANDIDATE
484,12105051,CANDIDATE,CANDIDATE
485,8240904,CONFIRMED,CANDIDATE
486,8240904,CONFIRMED,CANDIDATE
487,8240904,CANDIDATE,CANDIDATE
488,8374494,FALSE POSITIVE,FALSE POSITIVE
489,5735762,CONFIRMED,CANDIDATE
490,8414907,FALSE POSITIVE,FALSE POSITIVE
491,8414907,FALSE POSITIVE,FALSE POSITIVE
492,8397446,FALSE POSITIVE,FALSE POSITIVE
493,8386035,FALSE POSITIVE,FALSE POSITIVE
494,3962243,CONFIRMED,CANDIDATE
495,3962243,CONFIRMED,CANDIDATE
496,3438507,CONFIRMED,CANDIDATE
497,3869014,CONFIRMED,CANDIDATE
498,3756801,CANDIDATE,CANDIDATE
499,1871056,CONFIRMED,CANDIDATE
500,1865042,CONFIRMED,CANDIDATE
501,2438502,FALSE POSITIVE,FALSE POSITIVE
502,2309585,FALSE POSITIVE,FALSE POSITIVE
503,5780460,CONFIRMED,CANDIDATE
504,8244190,FALSE POSITIVE,FALSE POSITIVE
505,8229696,CONFIRMED,CANDIDATE
506,8262210,FALSE POSITIVE,FALSE POSITIVE
507,10272640,CONFIRMED,CANDIDATE
508,10232123,CANDIDATE,CANDIDATE
509,10223616,FALSE POSITIVE,FALSE POSITIVE
510,8415745,FALSE POSITIVE,FALSE POSITIVE
511,8378634,FALSE POSITIVE,FALSE POSITIVE
512,8397675,CANDIDATE,CANDIDATE
513,8346392,CONFIRMED,CANDIDATE
514,8288947,CONFIRMED,CANDIDATE
515,2437804,FALSE POSITIVE,FALSE POSITIVE
516,8312852,FALSE POSITIVE,FALSE POSITIVE
517,9480189,CONFIRMED,CANDIDATE
518,11974540,CONFIRMED,CANDIDATE
519,9480189,CONFIRMED,CANDIDATE
520,9480189,CONFIRMED,CANDIDATE
521,9512687,CONFIRMED,CANDIDATE
522,8644288,CONFIRMED,CANDIDATE
523,5738346,FALSE POSITIVE,FALSE POSITIVE
524,1725016,CONFIRMED,CANDIDATE
525,1722276,FALSE POSITIVE,FALSE POSITIVE
526,892772,FALSE POSITIVE,FALSE POSITIVE
527,1027438,FALSE POSITIVE,FALSE POSITIVE
528,10268907,FALSE POSITIVE,FALSE POSITIVE
529,5446285,CONFIRMED,CANDIDATE
530,10166274,CONFIRMED,CANDIDATE
531,10166274,CONFIRMED,CANDIDATE
532,10166274,CONFIRMED,CANDIDATE
533,10153827,FALSE POSITIVE,FALSE POSITIVE
534,5735762,CONFIRMED,CANDIDATE
535,8302450,FALSE POSITIVE,FALSE POSITIVE
536,8313667,CANDIDATE,CANDIDATE
537,8351704,CONFIRMED,CANDIDATE
538,8299955,FALSE POSITIVE,FALSE POSITIVE
539,9513865,CONFIRMED,CANDIDATE
540,9595686,CANDIDATE,CANDIDATE
541,9605514,CANDIDATE,CANDIDATE
542,9605514,CANDIDATE,CANDIDATE
543,9661877,FALSE POSITIVE,FALSE POSITIVE
544,5728283,FALSE POSITIVE,FALSE POSITIVE
545,8127639,FALSE POSITIVE,FALSE POSITIVE
546,6047498,FALSE POSITIVE,FALSE POSITIVE
547,8125580,CONFIRMED,CANDIDATE
548,8158127,CONFIRMED,CANDIDATE
549,10158990,FALSE POSITIVE,FALSE POSITIVE
550,10149023,FALSE POSITIVE,FALSE POSITIVE
551,10141900,CANDIDATE,CANDIDATE
552,10141900,CANDIDATE,CANDIDATE
553,10141900,CONFIRMED,CANDIDATE
554,8410727,CONFIRMED,CANDIDATE
555,8410727,CONFIRMED,CANDIDATE
556,8349405,FALSE POSITIVE,FALSE POSITIVE
557,8278371,CONFIRMED,CANDIDATE
558,8280511,CONFIRMED,CANDIDATE
559,8280511,CONFIRMED,CANDIDATE
560,9710326,CONFIRMED,CANDIDATE
561,9761882,CONFIRMED,CANDIDATE
562,5297298,CANDIDATE,CANDIDATE
563,9766437,CONFIRMED,CANDIDATE
564,9772531,CANDIDATE,CANDIDATE
565,9775938,CONFIRMED,CANDIDATE
566,8644288,CONFIRMED,CANDIDATE
567,8158127,CONFIRMED,CANDIDATE
568,8176653,FALSE POSITIVE,FALSE POSITIVE
569,8174625,CONFIRMED,CANDIDATE
570,8183911,FALSE POSITIVE,FALSE POSITIVE
571,8179973,FALSE POSITIVE,FALSE POSITIVE
572,10157458,CONFIRMED,CANDIDATE
573,4649305,CANDIDATE,CANDIDATE
574,10148521,FALSE POSITIVE,FALSE POSITIVE
575,10118816,CANDIDATE,CANDIDATE
576,10122255,CONFIRMED,CANDIDATE
577,3124412,FALSE POSITIVE,FALSE POSITIVE
578,3835670,CONFIRMED,CANDIDATE
579,10287248,FALSE POSITIVE,FALSE POSITIVE
580,10351767,FALSE POSITIVE,FALSE POSITIVE
581,10295951,CANDIDATE,CANDIDATE
582,10342041,FALSE POSITIVE,FALSE POSITIVE
583,10514770,FALSE POSITIVE,FALSE POSITIVE
584,9775938,CONFIRMED,CANDIDATE
585,9787239,CONFIRMED,CANDIDATE
