rowid,kepid,koi_disposition,koi_pdisposition
5769,7124026,FALSE POSITIVE,FALSE POSITIVE
5770,7200485,FALSE POSITIVE,FALSE POSITIVE
5771,9904006,CONFIRMED,CANDIDATE
5772,4544572,FALSE POSITIVE,FALSE POSITIVE
5773,5738634,FALSE POSITIVE,FALSE POSITIVE
5774,10152836,FALSE POSITIVE,FALSE POSITIVE
5775,10651816,FALSE POSITIVE,FALSE POSITIVE
5776,6964043,FALSE POSITIVE,FALSE POSITIVE
5777,3644523,FALSE POSITIVE,FALSE POSITIVE
5778,11909686,FALSE POSITIVE,FALSE POSITIVE
5779,6678383,FALSE POSITIVE,FALSE POSITIVE
5780,12644769,FALSE POSITIVE,FALSE POSITIVE
5781,7671950,CANDIDATE,CANDIDATE
5782,7918172,FALSE POSITIVE,FALSE POSITIVE
5783,8009496,FALSE POSITIVE,FALSE POSITIVE
5784,8081187,CONFIRMED,CANDIDATE
5785,8111919,FALSE POSITIVE,FALSE POSITIVE
5786,8127586,FALSE POSITIVE,FALSE POSITIVE
5787,7117485,FALSE POSITIVE,FALSE POSITIVE
5788,2860793,FALSE POSITIVE,FALSE POSITIVE
5789,3851130,FALSE POSITIVE,FALSE POSITIVE
5790,7257363,FALSE POSITIVE,FALSE POSITIVE
5791,11922722,FALSE POSITIVE,FALSE POSITIVE
5792,12061969,FALSE POSITIVE,FALSE POSITIVE
5793,7203326,FALSE POSITIVE,FALSE POSITIVE
5794,8030339,FALSE POSITIVE,FALSE POSITIVE
5795,9899414,FALSE POSITIVE,FALSE POSITIVE
5796,5471059,FALSE POSITIVE,FALSE POSITIVE
5797,7458309,FALSE POSITIVE,FALSE POSITIVE
5798,7777372,FALSE POSITIVE,FALSE POSITIVE
5799,7377200,FALSE POSITIVE,FALSE POSITIVE
5800,6312314,FALSE POSITIVE,FALSE POSITIVE
5801,6387969,FALSE POSITIVE,FALSE POSITIVE
5802,6468337,FALSE POSITIVE,FALSE POSITIVE
5803,9084778,FALSE POSITIVE,FALSE POSITIVE
5804,10357040,FALSE POSITIVE,FALSE POSITIVE
5805,10514429,FALSE POSITIVE,FALSE POSITIVE
5806,7747103,CANDIDATE,CANDIDATE
5807,8127607,FALSE POSITIVE,FALSE POSITIVE
5808,8129042,FALSE POSITIVE,FALSE POSITIVE
5809,8180020,FALSE POSITIVE,FALSE POSITIVE
5810,8223328,FALSE POSITIVE,FALSE POSITIVE
5811,8444552,FALSE POSITIVE,FALSE POSITIVE
5812,6342333,CANDIDATE,CANDIDATE
5813,10674871,CANDIDATE,CANDIDATE
5814,6032517,FALSE POSITIVE,FALSE POSITIVE
5815,4768846,FALSE POSITIVE,FALSE POSITIVE
5816,8260234,FALSE POSITIVE,FALSE POSITIVE
5817,7210749,FALSE POSITIVE,FALSE POSITIVE
5818,9282769,FALSE POSITIVE,FALSE POSITIVE
5819,10404582,CONFIRMED,CANDIDATE
5820,7777416,FALSE POSITIVE,FALSE POSITIVE
5821,7597005,FALSE POSITIVE,FALSE POSITIVE
5822,5479717,FALSE POSITIVE,FALSE POSITIVE
5823,11392618,FALSE POSITIVE,FALSE POSITIVE
5824,4474645,FALSE POSITIVE,FALSE POSITIVE
5825,4570949,CONFIRMED,CANDIDATE
5826,4927315,FALSE POSITIVE,FALSE POSITIVE
5827,4928119,FALSE POSITIVE,FALSE POSITIVE
5828,11518201,CANDIDATE,CANDIDATE
5829,10861608,FALSE POSITIVE,FALSE POSITIVE
5830,10934313,FALSE POSITIVE,FALSE POSITIVE
5831,11497958,CONFIRMED,CANDIDATE
5832,7516809,FALSE POSITIVE,FALSE POSITIVE
5833,6115516,FALSE POSITIVE,FALSE POSITIVE
5834,9758032,CANDIDATE,CANDIDATE
5835,6444896,CONFIRMED,CANDIDATE
5836,5640511,FALSE POSITIVE,FALSE POSITIVE
5837,7336093,FALSE POSITIVE,FALSE POSITIVE
5838,10196493,FALSE POSITIVE,FALSE POSITIVE
5839,11442793,CONFIRMED,CANDIDATE
5840,11442793,CONFIRMED,CANDIDATE
5841,7812455,FALSE POSITIVE,FALSE POSITIVE
5842,9520443,FALSE POSITIVE,FALSE POSITIVE
5843,10601465,FALSE POSITIVE,FALSE POSITIVE
5844,7461307,FALSE POSITIVE,FALSE POSITIVE
5845,7269881,FALSE POSITIVE,FALSE POSITIVE
5846,6974658,CANDIDATE,CANDIDATE
5847,10964265,FALSE POSITIVE,FALSE POSITIVE
5848,8672910,FALSE POSITIVE,FALSE POSITIVE
5849,3233043,FALSE POSITIVE,FALSE POSITIVE
5850,7269493,FALSE POSITIVE,FALSE POSITIVE
5851,9634821,CANDIDATE,CANDIDATE
